"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary
Natural_Language_Processing/Data/Input/input-positive,25,5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,1.4,3.6,5
Natural_Language_Processing/Data/Input/input-negative,2672,385,0.0,3.116883116883117,0.0,0.2597402597402597,0.0,0.2597402597402597,0.5194805194805194,0.0,2120,41,12,1.6181818181818182,4.974025974025974,232
